world_cup,date,team 1,team 2,score team 1,score team 2,penalties team 1,penalties team 2,Location,phase,attendance,year,host
1930 FIFA World Cup,7/13/1930,France,Mexico,4,1,,,Montevideo ,Group stage,4444,1930,Uruguay
1930 FIFA World Cup,7/13/1930,USA,Belgium,3,0,,,Montevideo ,Group stage,18346,1930,Uruguay
1930 FIFA World Cup,7/14/1930,Romania,Peru,3,1,,,Montevideo ,Group stage,2549,1930,Uruguay
1930 FIFA World Cup,7/14/1930,Yugoslavia,Brazil,2,1,,,Montevideo ,Group stage,24059,1930,Uruguay
1930 FIFA World Cup,7/15/1930,Argentina,France,1,0,,,Montevideo ,Group stage,23409,1930,Uruguay
1930 FIFA World Cup,7/16/1930,Chile,Mexico,3,0,,,Montevideo ,Group stage,9249,1930,Uruguay
1930 FIFA World Cup,7/17/1930,USA,Paraguay,3,0,,,Montevideo ,Group stage,18306,1930,Uruguay
1930 FIFA World Cup,7/17/1930,Yugoslavia,Bolivia,4,0,,,Montevideo ,Group stage,18306,1930,Uruguay
1930 FIFA World Cup,7/18/1930,Uruguay,Peru,1,0,,,Montevideo ,Group stage,57735,1930,Uruguay
1930 FIFA World Cup,7/19/1930,Argentina,Mexico,6,3,,,Montevideo ,Group stage,42100,1930,Uruguay
1930 FIFA World Cup,7/19/1930,Chile,France,1,0,,,Montevideo ,Group stage,2000,1930,Uruguay
1930 FIFA World Cup,7/20/1930,Brazil,Bolivia,4,0,,,Montevideo ,Group stage,25466,1930,Uruguay
1930 FIFA World Cup,7/20/1930,Paraguay,Belgium,1,0,,,Montevideo ,Group stage,12000,1930,Uruguay
1930 FIFA World Cup,7/21/1930,Uruguay,Romania,4,0,,,Montevideo ,Group stage,70022,1930,Uruguay
1930 FIFA World Cup,7/22/1930,Argentina,Chile,3,1,,,Montevideo ,Group stage,41459,1930,Uruguay
1930 FIFA World Cup,7/26/1930,Argentina,USA,6,1,,,Montevideo ,Semi-finals,72886,1930,Uruguay
1930 FIFA World Cup,7/27/1930,Uruguay,Yugoslavia,6,1,,,Montevideo ,Semi-finals,79867,1930,Uruguay
1930 FIFA World Cup,7/30/1930,Uruguay,Argentina,4,2,,,Montevideo ,Final,68346,1930,Uruguay
1934 FIFA World Cup,5/27/1934,Austria,France,3,2,,,Turin ,Preliminary round,16000,1934,Italy
1934 FIFA World Cup,5/27/1934,Czechoslovakia,Romania,2,1,,,Trieste ,Preliminary round,9000,1934,Italy
1934 FIFA World Cup,5/27/1934,Germany,Belgium,5,2,,,Florence ,Preliminary round,8000,1934,Italy
1934 FIFA World Cup,5/27/1934,Hungary,Egypt,4,2,,,Naples ,Preliminary round,9000,1934,Italy
1934 FIFA World Cup,5/27/1934,Italy,USA,7,1,,,Rome ,Preliminary round,25000,1934,Italy
1934 FIFA World Cup,5/27/1934,Spain,Brazil,3,1,,,Genoa ,Preliminary round,21000,1934,Italy
1934 FIFA World Cup,5/27/1934,Sweden,Argentina,3,2,,,Bologna ,Preliminary round,14000,1934,Italy
1934 FIFA World Cup,5/27/1934,Switzerland,Netherlands,3,2,,,Milan ,Preliminary round,33000,1934,Italy
1934 FIFA World Cup,5/31/1934,Austria,Hungary,2,1,,,Bologna ,Quarter-finals,23000,1934,Italy
1934 FIFA World Cup,5/31/1934,Czechoslovakia,Switzerland,3,2,,,Turin ,Quarter-finals,12000,1934,Italy
1934 FIFA World Cup,5/31/1934,Germany,Sweden,2,1,,,Milan ,Quarter-finals,3000,1934,Italy
1934 FIFA World Cup,5/31/1934,Italy,Spain,1,1,,,Florence ,Quarter-finals,35000,1934,Italy
1934 FIFA World Cup,6/1/1934,Italy,Spain,1,0,,,Florence ,Quarter-finals,43000,1934,Italy
1934 FIFA World Cup,6/3/1934,Czechoslovakia,Germany,3,1,,,Rome ,Semi-finals,15000,1934,Italy
1934 FIFA World Cup,6/3/1934,Italy,Austria,1,0,,,Milan ,Semi-finals,35000,1934,Italy
1934 FIFA World Cup,6/7/1934,Germany,Austria,3,2,,,Naples ,Match for third place,7000,1934,Italy
1934 FIFA World Cup,6/10/1934,Italy,Czechoslovakia,2,1,,,Rome ,Final,55000,1934,Italy
1938 FIFA World Cup,6/4/1938,Switzerland,Germany,1,1,,,Paris ,First round,27152,1938,France
1938 FIFA World Cup,6/5/1938,Brazil,Poland,6,5,,,Strasbourg ,First round,13452,1938,France
1938 FIFA World Cup,6/5/1938,Cuba,Romania,3,3,,,Toulouse ,First round,7000,1938,France
1938 FIFA World Cup,6/5/1938,Czechoslovakia,Netherlands,3,0,,,Le Havre ,First round,11000,1938,France
1938 FIFA World Cup,6/5/1938,France,Belgium,3,1,,,Paris/Colombes ,First round,30454,1938,France
1938 FIFA World Cup,6/5/1938,Hungary,Dutch East Indies,6,0,,,Reims ,First round,9000,1938,France
1938 FIFA World Cup,6/5/1938,Italy,Norway,2,1,,,Marseilles ,First round,19000,1938,France
1938 FIFA World Cup,6/9/1938,Cuba,Romania,2,1,,,Toulouse ,First round,8000,1938,France
1938 FIFA World Cup,6/9/1938,Switzerland,Germany,4,2,,,Paris ,First round,20025,1938,France
1938 FIFA World Cup,6/12/1938,Brazil,Czechoslovakia,1,1,,,Bordeaux ,Quarter-finals,22021,1938,France
1938 FIFA World Cup,6/12/1938,Hungary,Switzerland,2,0,,,Lille ,Quarter-finals,15000,1938,France
1938 FIFA World Cup,6/12/1938,Italy,France,3,1,,,Paris/Colombes ,Quarter-finals,58455,1938,France
1938 FIFA World Cup,6/12/1938,Sweden,Cuba,8,0,,,Antibes ,Quarter-finals,7000,1938,France
1938 FIFA World Cup,6/14/1938,Brazil,Czechoslovakia,2,1,,,Bordeaux ,Quarter-finals,18141,1938,France
1938 FIFA World Cup,6/16/1938,Hungary,Sweden,5,1,,,Paris ,Semi-finals,20000,1938,France
1938 FIFA World Cup,6/16/1938,Italy,Brazil,2,1,,,Marseilles ,Semi-finals,33000,1938,France
1938 FIFA World Cup,6/19/1938,Brazil,Sweden,4,2,,,Bordeaux ,Match for third place,12000,1938,France
1938 FIFA World Cup,6/19/1938,Italy,Hungary,4,2,,,Paris/Colombes ,Final,45000,1938,France
1950 FIFA World Cup,6/24/1950,Brazil,Mexico,4,0,,,Rio De Janeiro ,Group stage,81649,1950,Brazil
1950 FIFA World Cup,6/25/1950,England,Chile,2,0,,,Rio De Janeiro ,Group stage,29703,1950,Brazil
1950 FIFA World Cup,6/25/1950,Spain,USA,3,1,,,Curitiba ,Group stage,9511,1950,Brazil
1950 FIFA World Cup,6/25/1950,Sweden,Italy,3,2,,,Sao Paulo ,Group stage,36502,1950,Brazil
1950 FIFA World Cup,6/25/1950,Yugoslavia,Switzerland,3,0,,,Belo Horizonte ,Group stage,7336,1950,Brazil
1950 FIFA World Cup,6/28/1950,Brazil,Switzerland,2,2,,,Sao Paulo ,Group stage,42032,1950,Brazil
1950 FIFA World Cup,6/28/1950,Yugoslavia,Mexico,4,1,,,Porto Alegre ,Group stage,11078,1950,Brazil
1950 FIFA World Cup,6/29/1950,Spain,Chile,2,0,,,Rio De Janeiro ,Group stage,19790,1950,Brazil
1950 FIFA World Cup,6/29/1950,Sweden,Paraguay,2,2,,,Curitiba ,Group stage,7903,1950,Brazil
1950 FIFA World Cup,6/29/1950,USA,England,1,0,,,Belo Horizonte ,Group stage,10151,1950,Brazil
1950 FIFA World Cup,7/1/1950,Brazil,Yugoslavia,2,0,,,Rio De Janeiro ,Group stage,142429,1950,Brazil
1950 FIFA World Cup,7/2/1950,Chile,USA,5,2,,,Recife ,Group stage,8501,1950,Brazil
1950 FIFA World Cup,7/2/1950,Italy,Paraguay,2,0,,,Sao Paulo ,Group stage,25811,1950,Brazil
1950 FIFA World Cup,7/2/1950,Spain,England,1,0,,,Rio De Janeiro ,Group stage,74462,1950,Brazil
1950 FIFA World Cup,7/2/1950,Switzerland,Mexico,2,1,,,Porto Alegre ,Group stage,3580,1950,Brazil
1950 FIFA World Cup,7/2/1950,Uruguay,Bolivia,8,0,,,Belo Horizonte ,Group stage,5284,1950,Brazil
1950 FIFA World Cup,7/9/1950,Brazil,Sweden,7,1,,,Rio De Janeiro ,Final round,138886,1950,Brazil
1950 FIFA World Cup,7/9/1950,Uruguay,Spain,2,2,,,Sao Paulo ,Final round,44802,1950,Brazil
1950 FIFA World Cup,7/13/1950,Brazil,Spain,6,1,,,Rio De Janeiro ,Final round,152772,1950,Brazil
1950 FIFA World Cup,7/13/1950,Uruguay,Sweden,3,2,,,Sao Paulo ,Final round,7987,1950,Brazil
1950 FIFA World Cup,7/16/1950,Sweden,Spain,3,1,,,Sao Paulo ,Final round,11227,1950,Brazil
1950 FIFA World Cup,7/16/1950,Uruguay,Brazil,2,1,,,Rio De Janeiro ,Final,173850,1950,Brazil
1954 FIFA World Cup,6/16/1954,Austria,Scotland,1,0,,,Zurich ,Group stage,25000,1954,Switzerland
1954 FIFA World Cup,6/16/1954,Brazil,Mexico,5,0,,,Geneva ,Group stage,13470,1954,Switzerland
1954 FIFA World Cup,6/16/1954,Uruguay,Czechoslovakia,2,0,,,Berne ,Group stage,20500,1954,Switzerland
1954 FIFA World Cup,6/16/1954,Yugoslavia,France,1,0,,,Lausanne ,Group stage,16000,1954,Switzerland
1954 FIFA World Cup,6/17/1954,England,Belgium,4,4,,,Basel ,Group stage,14000,1954,Switzerland
1954 FIFA World Cup,6/17/1954,West Germany,Turkey,4,1,,,Berne ,Group stage,28000,1954,Switzerland
1954 FIFA World Cup,6/17/1954,Hungary,South Korea,9,0,,,Zurich ,Group stage,13000,1954,Switzerland
1954 FIFA World Cup,6/17/1954,Switzerland,Italy,2,1,,,Lausanne ,Group stage,43000,1954,Switzerland
1954 FIFA World Cup,6/19/1954,Austria,Czechoslovakia,5,0,,,Zurich ,Group stage,26000,1954,Switzerland
1954 FIFA World Cup,6/19/1954,Brazil,Yugoslavia,1,1,,,Lausanne ,Group stage,24637,1954,Switzerland
1954 FIFA World Cup,6/19/1954,France,Mexico,3,2,,,Geneva ,Group stage,19000,1954,Switzerland
1954 FIFA World Cup,6/19/1954,Uruguay,Scotland,7,0,,,Basel ,Group stage,34000,1954,Switzerland
1954 FIFA World Cup,6/20/1954,England,Switzerland,2,0,,,Berne ,Group stage,43500,1954,Switzerland
1954 FIFA World Cup,6/20/1954,Hungary,West Germany,8,3,,,Basel ,Group stage,56000,1954,Switzerland
1954 FIFA World Cup,6/20/1954,Italy,Belgium,4,1,,,Lugano ,Group stage,24000,1954,Switzerland
1954 FIFA World Cup,6/20/1954,Turkey,South Korea,7,0,,,Geneva ,Group stage,4000,1954,Switzerland
1954 FIFA World Cup,6/23/1954,West Germany,Turkey,7,2,,,Zurich ,Group stage,17000,1954,Switzerland
1954 FIFA World Cup,6/23/1954,Switzerland,Italy,4,1,,,Basel ,Group stage,30000,1954,Switzerland
1954 FIFA World Cup,6/26/1954,Austria,Switzerland,7,5,,,Lausanne ,Quarter-finals,35000,1954,Switzerland
1954 FIFA World Cup,6/26/1954,Uruguay,England,4,2,,,Basel ,Quarter-finals,28000,1954,Switzerland
1954 FIFA World Cup,6/27/1954,West Germany,Yugoslavia,2,0,,,Geneva ,Quarter-finals,17000,1954,Switzerland
1954 FIFA World Cup,6/27/1954,Hungary,Brazil,4,2,,,Berne ,Quarter-finals,40000,1954,Switzerland
1954 FIFA World Cup,6/30/1954,West Germany,Austria,6,1,,,Basel ,Semi-finals,58000,1954,Switzerland
1954 FIFA World Cup,6/30/1954,Hungary,Uruguay,4,2,,,Lausanne ,Semi-finals,45000,1954,Switzerland
1954 FIFA World Cup,7/3/1954,Austria,Uruguay,3,1,,,Zurich ,Match for third place,32000,1954,Switzerland
1954 FIFA World Cup,7/4/1954,West Germany,Hungary,3,2,,,Berne ,Final,62500,1954,Switzerland
1958 FIFA World Cup,6/8/1958,Argentina,West Germany,1,3,,,Malmo ,Group stage,31156,1958,Sweden
1958 FIFA World Cup,6/8/1958,Brazil,Austria,3,0,,,Udevalla ,Group stage,17788,1958,Sweden
1958 FIFA World Cup,6/8/1958,France,Paraguay,7,3,,,Norrkoping ,Group stage,16518,1958,Sweden
1958 FIFA World Cup,6/8/1958,Hungary,Wales,1,1,,,Sandviken ,Group stage,15343,1958,Sweden
1958 FIFA World Cup,6/8/1958,Northern Ireland,Czechoslovakia,1,0,,,Halmstad ,Group stage,10647,1958,Sweden
1958 FIFA World Cup,6/8/1958,Soviet Union,England,2,2,,,Gothenburg ,Group stage,49348,1958,Sweden
1958 FIFA World Cup,6/8/1958,Sweden,Mexico,3,0,,,Solna ,Group stage,34107,1958,Sweden
1958 FIFA World Cup,6/8/1958,Yugoslavia,Scotland,1,1,,,Vasteras ,Group stage,9591,1958,Sweden
1958 FIFA World Cup,6/11/1958,Argentina,Northern Ireland,3,1,,,Halmstad ,Group stage,14174,1958,Sweden
1958 FIFA World Cup,6/11/1958,Brazil,England,0,0,,,Gothenburg ,Group stage,40895,1958,Sweden
1958 FIFA World Cup,6/11/1958,West Germany,Czechoslovakia,2,2,,,Helsingborg ,Group stage,25000,1958,Sweden
1958 FIFA World Cup,6/11/1958,Mexico,Wales,1,1,,,Solna ,Group stage,15150,1958,Sweden
1958 FIFA World Cup,6/11/1958,Paraguay,Scotland,3,2,,,Norrkoping ,Group stage,11665,1958,Sweden
1958 FIFA World Cup,6/11/1958,Soviet Union,Austria,2,0,,,Boras ,Group stage,21239,1958,Sweden
1958 FIFA World Cup,6/11/1958,Yugoslavia,France,3,2,,,Vasteras ,Group stage,12217,1958,Sweden
1958 FIFA World Cup,6/12/1958,Sweden,Hungary,2,1,,,Solna ,Group stage,38850,1958,Sweden
1958 FIFA World Cup,6/15/1958,Brazil,Soviet Union,2,0,,,Gothenburg ,Group stage,50928,1958,Sweden
1958 FIFA World Cup,6/15/1958,Czechoslovakia,Argentina,6,1,,,Helsingborg ,Group stage,16418,1958,Sweden
1958 FIFA World Cup,6/15/1958,England,Austria,2,2,,,Boras ,Group stage,15872,1958,Sweden
1958 FIFA World Cup,6/15/1958,France,Scotland,2,1,,,Orebro ,Group stage,13554,1958,Sweden
1958 FIFA World Cup,6/15/1958,West Germany,Northern Ireland,2,2,,,Malmo ,Group stage,21990,1958,Sweden
1958 FIFA World Cup,6/15/1958,Hungary,Mexico,4,0,,,Sandviken ,Group stage,13300,1958,Sweden
1958 FIFA World Cup,6/15/1958,Paraguay,Yugoslavia,3,3,,,Eskilstuna ,Group stage,13103,1958,Sweden
1958 FIFA World Cup,6/15/1958,Sweden,Wales,0,0,,,Solna ,Group stage,30287,1958,Sweden
1958 FIFA World Cup,6/17/1958,Northern Ireland,Czechoslovakia,2,1,,,Malmo ,Group stage,6196,1958,Sweden
1958 FIFA World Cup,6/17/1958,Soviet Union,England,1,0,,,Gothenburg ,Group stage,23182,1958,Sweden
1958 FIFA World Cup,6/17/1958,Wales,Hungary,2,1,,,Solna ,Group stage,2823,1958,Sweden
1958 FIFA World Cup,6/19/1958,Brazil,Wales,1,0,,,Gothenburg ,Quarter-finals,25923,1958,Sweden
1958 FIFA World Cup,6/19/1958,France,Northern Ireland,4,0,,,Norrkoping ,Quarter-finals,11800,1958,Sweden
1958 FIFA World Cup,6/19/1958,West Germany,Yugoslavia,1,0,,,Malmo ,Quarter-finals,20055,1958,Sweden
1958 FIFA World Cup,6/19/1958,Sweden,Soviet Union,2,0,,,Solna ,Quarter-finals,31900,1958,Sweden
1958 FIFA World Cup,6/24/1958,Brazil,France,5,2,,,Solna ,Semi-finals,27100,1958,Sweden
1958 FIFA World Cup,6/24/1958,Sweden,West Germany,3,1,,,Gothenburg ,Semi-finals,49471,1958,Sweden
1958 FIFA World Cup,6/28/1958,France,West Germany,6,3,,,Gothenburg ,Match for third place,32483,1958,Sweden
1958 FIFA World Cup,6/29/1958,Brazil,Sweden,5,2,,,Solna ,Final,49737,1958,Sweden
1962 FIFA World Cup,5/30/1962,Argentina,Bulgaria,1,0,,,Rancagua ,Group stage,7134,1962,Chile
1962 FIFA World Cup,5/30/1962,Brazil,Mexico,2,0,,,Vina Del Mar ,Group stage,10484,1962,Chile
1962 FIFA World Cup,5/30/1962,Chile,Switzerland,3,1,,,Santiago De Chile ,Group stage,65006,1962,Chile
1962 FIFA World Cup,5/30/1962,Uruguay,Colombia,2,1,,,Arica ,Group stage,7908,1962,Chile
1962 FIFA World Cup,5/31/1962,Czechoslovakia,Spain,1,0,,,Vina Del Mar ,Group stage,12700,1962,Chile
1962 FIFA World Cup,5/31/1962,West Germany,Italy,0,0,,,Santiago De Chile ,Group stage,65440,1962,Chile
1962 FIFA World Cup,5/31/1962,Hungary,England,2,1,,,Rancagua ,Group stage,7938,1962,Chile
1962 FIFA World Cup,5/31/1962,Soviet Union,Yugoslavia,2,0,,,Arica ,Group stage,9622,1962,Chile
1962 FIFA World Cup,6/2/1962,Brazil,Czechoslovakia,0,0,,,Vina Del Mar ,Group stage,14903,1962,Chile
1962 FIFA World Cup,6/2/1962,Chile,Italy,2,0,,,Santiago De Chile ,Group stage,66057,1962,Chile
1962 FIFA World Cup,6/2/1962,England,Argentina,3,1,,,Rancagua ,Group stage,9794,1962,Chile
1962 FIFA World Cup,6/2/1962,Yugoslavia,Uruguay,3,1,,,Arica ,Group stage,8829,1962,Chile
1962 FIFA World Cup,6/3/1962,West Germany,Switzerland,2,1,,,Santiago De Chile ,Group stage,64922,1962,Chile
1962 FIFA World Cup,6/3/1962,Hungary,Bulgaria,6,1,,,Rancagua ,Group stage,7442,1962,Chile
1962 FIFA World Cup,6/3/1962,Soviet Union,Colombia,4,4,,,Arica ,Group stage,8040,1962,Chile
1962 FIFA World Cup,6/3/1962,Spain,Mexico,1,0,,,Vina Del Mar ,Group stage,11875,1962,Chile
1962 FIFA World Cup,6/6/1962,Brazil,Spain,2,1,,,Vina Del Mar ,Group stage,18715,1962,Chile
1962 FIFA World Cup,6/6/1962,West Germany,Chile,2,0,,,Santiago De Chile ,Group stage,67224,1962,Chile
1962 FIFA World Cup,6/6/1962,Hungary,Argentina,0,0,,,Rancagua ,Group stage,7945,1962,Chile
1962 FIFA World Cup,6/6/1962,Soviet Union,Uruguay,2,1,,,Arica ,Group stage,9973,1962,Chile
1962 FIFA World Cup,6/7/1962,England,Bulgaria,0,0,,,Rancagua ,Group stage,5700,1962,Chile
1962 FIFA World Cup,6/7/1962,Italy,Switzerland,3,0,,,Santiago De Chile ,Group stage,59828,1962,Chile
1962 FIFA World Cup,6/7/1962,Mexico,Czechoslovakia,3,1,,,Vina Del Mar ,Group stage,10648,1962,Chile
1962 FIFA World Cup,6/7/1962,Yugoslavia,Colombia,5,0,,,Arica ,Group stage,7167,1962,Chile
1962 FIFA World Cup,6/10/1962,Brazil,England,3,1,,,Vina Del Mar ,Quarter-finals,17736,1962,Chile
1962 FIFA World Cup,6/10/1962,Chile,Soviet Union,2,1,,,Arica ,Quarter-finals,17268,1962,Chile
1962 FIFA World Cup,6/10/1962,Czechoslovakia,Hungary,1,0,,,Rancagua ,Quarter-finals,11690,1962,Chile
1962 FIFA World Cup,6/10/1962,Yugoslavia,West Germany,1,0,,,Santiago De Chile ,Quarter-finals,63324,1962,Chile
1962 FIFA World Cup,6/13/1962,Brazil,Chile,4,2,,,Santiago De Chile ,Semi-finals,76594,1962,Chile
1962 FIFA World Cup,6/13/1962,Czechoslovakia,Yugoslavia,3,1,,,Vina Del Mar ,Semi-finals,5890,1962,Chile
1962 FIFA World Cup,6/16/1962,Chile,Yugoslavia,1,0,,,Santiago De Chile ,Match for third place,66697,1962,Chile
1962 FIFA World Cup,6/17/1962,Brazil,Czechoslovakia,3,1,,,Santiago De Chile ,Final,68679,1962,Chile
1966 FIFA World Cup,7/11/1966,England,Uruguay,0,0,,,London ,Group stage,87148,1966,England
1966 FIFA World Cup,7/12/1966,Brazil,Bulgaria,2,0,,,Liverpool ,Group stage,47308,1966,England
1966 FIFA World Cup,7/12/1966,West Germany,Switzerland,5,0,,,Sheffield ,Group stage,36127,1966,England
1966 FIFA World Cup,7/12/1966,Soviet Union,North Korea,3,0,,,Middlesbrough ,Group stage,23006,1966,England
1966 FIFA World Cup,7/13/1966,Argentina,Spain,2,1,,,Birmingham ,Group stage,42738,1966,England
1966 FIFA World Cup,7/13/1966,France,Mexico,1,1,,,London ,Group stage,69237,1966,England
1966 FIFA World Cup,7/13/1966,Italy,Chile,2,0,,,Sunderland ,Group stage,27199,1966,England
1966 FIFA World Cup,7/13/1966,Portugal,Hungary,3,1,,,Manchester ,Group stage,29886,1966,England
1966 FIFA World Cup,7/15/1966,Hungary,Brazil,3,1,,,Liverpool ,Group stage,51387,1966,England
1966 FIFA World Cup,7/15/1966,North Korea,Chile,1,1,,,Middlesbrough ,Group stage,13792,1966,England
1966 FIFA World Cup,7/15/1966,Spain,Switzerland,2,1,,,Sheffield ,Group stage,32028,1966,England
1966 FIFA World Cup,7/15/1966,Uruguay,France,2,1,,,London ,Group stage,45662,1966,England
1966 FIFA World Cup,7/16/1966,England,Mexico,2,0,,,London ,Group stage,92570,1966,England
1966 FIFA World Cup,7/16/1966,West Germany,Argentina,0,0,,,Birmingham ,Group stage,46587,1966,England
1966 FIFA World Cup,7/16/1966,Portugal,Bulgaria,3,0,,,Manchester ,Group stage,25438,1966,England
1966 FIFA World Cup,7/16/1966,Soviet Union,Italy,1,0,,,Sunderland ,Group stage,27793,1966,England
1966 FIFA World Cup,7/19/1966,Argentina,Switzerland,2,0,,,Sheffield ,Group stage,32127,1966,England
1966 FIFA World Cup,7/19/1966,North Korea,Italy,1,0,,,Middlesbrough ,Group stage,17829,1966,England
1966 FIFA World Cup,7/19/1966,Portugal,Brazil,3,1,,,Liverpool ,Group stage,58479,1966,England
1966 FIFA World Cup,7/19/1966,Uruguay,Mexico,0,0,,,London ,Group stage,61112,1966,England
1966 FIFA World Cup,7/20/1966,England,France,2,0,,,London ,Group stage,98270,1966,England
1966 FIFA World Cup,7/20/1966,West Germany,Spain,2,1,,,Birmingham ,Group stage,42187,1966,England
